,wind_speed,hourly_highest,hourly_lowest,24_avg_temp,sunshine_duration,24_precipitation,24_avg_humidity,evaporation,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Search,ISO_YEAR,ISO_WEEK,INF_A,INF_B,ILI_ACTIVITY,SPEC_PROCESSED_NB
0,30.580645161290324,52.58064516129032,18.70967741935484,173.93548387096774,52.70967741935484,36.54838709677419,82.3225806451613,23.06451612903226,2008-08,5,5,1,11,2008,35,1.0,0.0,3.0,0.0
1,27.7,48.666666666666664,16.333333333333332,136.1,48.9,33.233333333333334,83.3,16.166666666666668,2008-09,5,7,2,14,6024,115,1.0,1.0,8.0,0.0
2,29.903225806451612,50.0,16.129032258064516,100.80645161290323,43.12903225806452,29.322580645161292,86.3225806451613,9.290322580645162,2008-10,6,11,2,19,8032,170,1.0,0.0,10.0,7.0
3,34.3,56.666666666666664,19.333333333333332,68.53333333333333,17.833333333333332,30.0,89.63333333333334,3.5,2008-11,9,9,3,21,8032,186,5.0,0.0,11.0,0.0
4,29.29032258064516,47.41935483870968,18.387096774193548,24.483870967741936,27.387096774193548,7.612903225806452,89.16129032258064,2.4838709677419355,2008-12,7,11,3,21,10041,203,76.0,0.0,20.0,52.0
5,32.935483870967744,52.25806451612903,20.967741935483872,7.967741935483871,32.516129032258064,17.129032258064516,86.25806451612904,3.129032258064516,2009-01,12,20,10,42,8036,14,378.0,1.0,24.0,557.0
6,26.75,47.857142857142854,17.142857142857142,33.07142857142857,16.964285714285715,19.535714285714285,87.5,4.0,2009-02,9,12,4,25,8036,30,123.0,37.0,23.0,252.0
7,30.096774193548388,54.83870967741935,17.096774193548388,63.25806451612903,45.83870967741935,15.419354838709678,80.70967741935483,11.32258064516129,2009-03,7,10,2,19,10045,60,9.0,31.0,28.0,84.0
8,23.9,51.333333333333336,12.666666666666666,121.76666666666667,75.5,6.533333333333333,75.03333333333333,23.966666666666665,2009-04,77,29,6,112,8036,66,5.0,6.0,17.0,26.0
9,31.903225806451612,57.096774193548384,15.161290322580646,138.5483870967742,76.25806451612904,20.870967741935484,72.25806451612904,29.483870967741936,2009-05,71,26,11,108,8036,82,8.0,2.0,16.0,52.0
10,25.866666666666667,48.0,14.0,156.43333333333334,77.2,17.733333333333334,74.73333333333333,33.333333333333336,2009-06,44,24,25,93,10045,125,144.0,0.0,16.0,201.0
11,27.967741935483872,52.903225806451616,14.516129032258064,180.80645161290323,75.19354838709677,34.354838709677416,75.48387096774194,32.516129032258064,2009-07,73,34,43,150,8036,118,787.0,0.0,8.0,837.0
12,23.35483870967742,45.16129032258065,12.258064516129032,184.5483870967742,72.96774193548387,15.0,75.29032258064517,30.06451612903226,2009-08,60,46,58,164,10045,170,602.0,0.0,10.0,713.0
13,28.433333333333334,49.0,14.0,149.63333333333333,53.3,10.9,82.03333333333333,17.933333333333334,2009-09,32,29,30,91,8036,154,98.0,1.0,16.0,218.0
