wind_speed;hourly_highest;hourly_lowest;24_avg_temp;sunshine_duration;24_precipitation;24_avg_humidity;evaporation;Year-Month;flu: (Netherlands);Influenza: (Netherlands);Griep: (Netherlands);Total Search;ISO_YEAR;ISO_WEEK;INF_A;INF_B;ILI_ACTIVITY;SPEC_PROCESSED_NB
41.16129032258065;63.225806451612904;27.096774193548388;59.25806451612903;24.35483870967742;21.419354838709676;86.54838709677419;2.7096774193548385;2013-12;8;6;3;17;20132;406;12.0;0.0;0.0;582.0
39.193548387096776;62.25806451612903;27.419354838709676;56.516129032258064;21.580645161290324;19.967741935483872;85.87096774193549;2.967741935483871;2014-01;9;7;4;20;16112;28;45.0;1.0;0.0;615.0
48.42857142857143;71.42857142857143;31.785714285714285;65.0;31.25;23.607142857142858;81.28571428571429;6.035714285714286;2014-02;9;9;3;21;16112;60;105.0;7.0;0.0;672.0
29.806451612903224;51.61290322580645;16.774193548387096;84.12903225806451;65.38709677419355;8.096774193548388;74.90322580645162;15.258064516129032;2014-03;9;9;3;21;20140;120;147.0;7.0;0.0;456.0
24.766666666666666;48.333333333333336;12.666666666666666;121.13333333333334;58.3;19.333333333333332;75.5;21.966666666666665;2014-04;9;7;2;18;16112;132;67.0;3.0;0.0;178.0
26.129032258064516;49.354838709677416;13.870967741935484;132.38709677419354;62.064516129032256;32.83870967741935;76.2258064516129;26.096774193548388;2014-05;9;5;2;16;16112;164;14.0;4.0;0.0;85.0
21.766666666666666;45.0;9.666666666666666;161.83333333333334;76.0;9.966666666666667;73.53333333333333;33.63333333333333;2014-06;8;4;1;13;20140;250;1.0;2.0;0.0;66.0
23.870967741935484;45.806451612903224;10.96774193548387;197.51612903225808;69.12903225806451;44.16129032258065;77.6774193548387;33.064516129032256;2014-07;9;5;1;15;16112;236;5.0;0.0;0.0;33.0
26.806451612903224;50.32258064516129;13.225806451612904;160.90322580645162;64.19354838709677;48.0;81.7741935483871;24.548387096774192;2014-08;10;4;2;16;16112;268;0.0;0.0;0.0;44.0
20.066666666666666;39.666666666666664;7.666666666666667;158.53333333333333;57.96666666666667;6.666666666666667;84.13333333333334;19.433333333333334;2014-09;10;7;2;19;20140;380;5.0;0.0;0.0;97.0
28.548387096774192;49.03225806451613;17.741935483870968;134.29032258064515;32.225806451612904;24.0;87.87096774193549;8.935483870967742;2014-10;12;9;3;24;16112;340;16.0;14.0;0.0;135.0
31.133333333333333;49.0;18.333333333333332;81.73333333333333;29.566666666666666;15.433333333333334;88.33333333333333;4.633333333333334;2014-11;16;10;3;29;16112;372;24.0;4.0;0.0;170.0
39.645161290322584;64.19354838709677;25.161290322580644;48.45161290322581;18.903225806451612;31.870967741935484;84.7741935483871;2.2580645161290325;2014-12;13;10;6;29;20142;406;358.0;14.0;0.0;743.0
39.54838709677419;64.19354838709677;25.806451612903224;40.193548387096776;17.451612903225808;37.225806451612904;84.51612903225806;2.5806451612903225;2015-01;15;16;9;40;16120;28;964.0;40.0;0.0;1482.0
31.714285714285715;52.857142857142854;17.857142857142858;34.892857142857146;40.285714285714285;21.571428571428573;84.21428571428571;6.25;2015-02;21;21;11;53;16120;60;987.0;114.0;0.0;1854.0
33.96774193548387;58.70967741935484;19.032258064516128;61.58064516129032;50.54838709677419;19.193548387096776;78.25806451612904;11.67741935483871;2015-03;16;12;6;34;20150;120;188.0;254.0;0.0;920.0
26.266666666666666;53.0;12.666666666666666;89.9;80.13333333333334;6.9;71.9;23.433333333333334;2015-04;13;8;4;25;16120;132;22.0;85.0;0.0;251.0
29.64516129032258;57.74193548387097;13.225806451612904;123.64516129032258;71.61290322580645;14.903225806451612;70.29032258064517;27.64516129032258;2015-05;11;7;2;20;16120;164;1.0;25.0;0.0;79.0
28.5;50.333333333333336;12.333333333333334;156.0;77.63333333333334;10.733333333333333;70.23333333333333;33.53333333333333;2015-06;10;5;1;16;20150;250;0.0;3.0;0.0;76.0
27.193548387096776;56.45161290322581;14.516129032258064;183.83870967741936;73.35483870967742;29.451612903225808;74.54838709677419;32.483870967741936;2015-07;6;5;1;12;16120;236;0.0;0.0;0.0;38.0
22.870967741935484;47.41935483870968;13.225806451612904;184.5483870967742;68.70967741935483;36.74193548387097;78.3225806451613;29.322580645161292;2015-08;8;4;1;13;20150;340;1.0;0.0;0.0;49.0
27.966666666666665;51.0;13.666666666666666;134.0;49.53333333333333;29.4;83.6;16.466666666666665;2015-09;10;6;3;19;16120;308;4.0;1.0;0.0;94.0
21.225806451612904;38.38709677419355;10.32258064516129;98.90322580645162;40.38709677419355;10.483870967741936;88.35483870967742;9.419354838709678;2015-10;11;8;3;22;16120;340;5.0;2.0;0.0;119.0
41.4;65.33333333333333;28.0;98.8;19.266666666666666;49.36666666666667;85.53333333333333;3.9;2015-11;10;8;3;21;20150;470;32.0;8.0;0.0;233.0
45.41935483870968;67.09677419354838;30.64516129032258;96.29032258064517;21.129032258064516;13.451612903225806;84.80645161290323;2.870967741935484;2015-12;10;7;3;20;16120;412;114.0;6.0;0.0;504.0
37.935483870967744;61.61290322580645;26.451612903225808;47.83870967741935;18.774193548387096;37.41935483870968;86.70967741935483;2.6774193548387095;2016-01;17;12;9;38;16128;20;461.0;36.0;0.0;1062.0
