,Year-Month,flu: (Netherlands),Influenza: (Netherlands),Griep: (Netherlands),Total Sarch ,STN,YYYYMMDD,DDVEC,wind_speed,FG,hourly_highest,FHXH,hourly_lowest,FHNH,FXX,FXXH,24_avg_temp,TN,TNH,TX,TXH,T10N,T10NH,sunshine_duration,SP,Q,DR,24_precipitation,RHX,RHXH,PG,PX,PXH,PN,PNH,VVN,VVNH,VVX,VVXH,24_avg_humidity,UX,UXH,UN,UNH,evaporation
0,2004-01,12,25,3,40,260.0,20040116.0,195.38709677419354,32.70967741935484,39.483870967741936,57.74193548387097,9.903225806451612,21.93548387096774,7.451612903225806,111.93548387096774,10.612903225806452,35.87096774193548,8.290322580645162,10.548387096774194,60.25806451612903,13.419354838709678,-6.580645161290323,14.32258064516129,15.516129032258064,18.419354838709676,195.67741935483872,39.03225806451613,39.61290322580645,10.806451612903226,9.129032258064516,10079.548387096775,10125.129032258064,9.0,10035.161290322581,13.935483870967742,33.0,11.064516129032258,69.7741935483871,12.064516129032258,88.12903225806451,96.09677419354838,10.709677419354838,76.45161290322581,11.774193548387096,2.2580645161290325
1,2004-02,15,31,2,48,260.0,20040215.0,223.0,36.06896551724138,39.51724137931034,57.58620689655172,9.793103448275861,22.413793103448278,7.620689655172414,116.89655172413794,12.827586206896552,48.206896551724135,18.06896551724138,11.275862068965518,79.24137931034483,12.724137931034482,2.413793103448276,14.689655172413794,27.551724137931036,27.03448275862069,447.17241379310343,24.0,27.17241379310345,8.344827586206897,8.96551724137931,10187.689655172413,10228.103448275862,12.172413793103448,10147.689655172413,10.689655172413794,33.51724137931034,11.379310344827585,71.03448275862068,12.0,83.55172413793103,93.72413793103448,10.206896551724139,69.51724137931035,13.206896551724139,5.206896551724138
2,2004-03,0,16,1,17,260.0,20040316.0,185.5483870967742,33.58064516129032,36.516129032258064,55.806451612903224,11.0,18.387096774193548,7.225806451612903,107.09677419354838,12.193548387096774,59.225806451612904,12.193548387096774,9.806451612903226,102.61290322580645,14.32258064516129,-7.483870967741935,12.580645161290322,40.32258064516129,33.645161290322584,834.8387096774194,10.903225806451612,13.32258064516129,4.967741935483871,6.870967741935484,10202.225806451614,10230.774193548386,10.838709677419354,10175.806451612903,12.35483870967742,27.580645161290324,9.32258064516129,72.87096774193549,13.806451612903226,78.2258064516129,93.41935483870968,9.64516129032258,58.193548387096776,13.67741935483871,10.870967741935484
3,2004-04,8,0,1,9,260.0,20040415.5,183.03333333333333,26.333333333333332,30.9,49.666666666666664,12.1,14.333333333333334,7.1,97.0,12.6,103.53333333333333,45.4,10.566666666666666,157.33333333333334,14.3,19.733333333333334,13.2,59.53333333333333,42.63333333333333,1393.5,9.633333333333333,10.8,5.6,6.8,10128.466666666667,10156.8,13.066666666666666,10100.933333333332,12.1,39.166666666666664,10.466666666666667,78.33333333333333,14.7,73.56666666666666,93.76666666666667,8.466666666666667,51.96666666666667,14.4,20.8
4,2004-05,0,20,1,21,260.0,20040516.0,248.25806451612902,23.483870967741936,26.225806451612904,44.193548387096776,12.258064516129032,9.67741935483871,6.290322580645161,90.0,13.838709677419354,122.93548387096774,64.6774193548387,11.516129032258064,175.80645161290323,14.451612903225806,28.387096774193548,13.548387096774194,67.61290322580645,42.87096774193548,1788.0,10.483870967741936,9.870967741935484,3.0,5.419354838709677,10156.645161290322,10179.387096774193,12.903225806451612,10134.741935483871,11.096774193548388,27.548387096774192,11.064516129032258,77.38709677419355,14.935483870967742,74.58064516129032,94.6774193548387,8.258064516129032,52.16129032258065,13.612903225806452,27.967741935483872
5,2004-06,0,12,1,13,260.0,20040615.5,247.46666666666667,27.233333333333334,31.0,47.0,11.333333333333334,13.0,8.9,98.0,12.133333333333333,155.23333333333332,97.9,10.4,203.63333333333333,13.566666666666666,73.76666666666667,13.2,57.6,34.56666666666667,1721.6,18.066666666666666,22.966666666666665,9.1,7.766666666666667,10167.266666666666,10192.133333333333,11.633333333333333,10139.433333333332,13.2,30.133333333333333,7.833333333333333,78.03333333333333,14.8,77.1,95.93333333333334,7.533333333333333,57.766666666666666,14.166666666666666,28.866666666666667
6,2004-07,0,16,1,17,260.0,20040716.0,217.2258064516129,22.677419354838708,27.419354838709676,46.45161290322581,12.96774193548387,11.290322580645162,6.096774193548387,94.51612903225806,13.935483870967742,167.03225806451613,114.12903225806451,10.0,216.19354838709677,13.709677419354838,92.6774193548387,12.387096774193548,63.61290322580645,39.354838709677416,1714.225806451613,16.096774193548388,39.32258064516129,20.06451612903226,8.387096774193548,10155.612903225807,10175.90322580645,13.387096774193548,10134.225806451614,10.64516129032258,22.451612903225808,9.258064516129032,77.54838709677419,14.129032258064516,80.16129032258064,96.83870967741936,6.709677419354839,58.096774193548384,13.870967741935484,29.419354838709676
7,2004-08,0,0,1,1,260.0,20040816.0,188.48387096774192,26.548387096774192,30.516129032258064,50.0,11.419354838709678,13.870967741935484,9.35483870967742,98.70967741935483,13.03225806451613,188.41935483870967,141.32258064516128,10.32258064516129,238.25806451612902,13.838709677419354,120.51612903225806,12.96774193548387,61.67741935483871,41.806451612903224,1490.5806451612902,21.451612903225808,40.903225806451616,18.29032258064516,8.129032258064516,10110.387096774193,10134.90322580645,11.903225806451612,10084.935483870968,13.064516129032258,33.193548387096776,10.806451612903226,76.93548387096774,12.741935483870968,79.80645161290323,95.61290322580645,7.290322580645161,58.483870967741936,13.161290322580646,26.93548387096774
8,2004-09,8,9,2,19,260.0,20040915.5,199.63333333333333,29.533333333333335,32.9,51.0,11.066666666666666,17.666666666666668,8.766666666666667,102.66666666666667,12.3,151.76666666666668,103.43333333333334,11.666666666666666,200.13333333333333,13.3,79.63333333333334,13.8,61.3,47.5,1156.5,18.666666666666668,20.666666666666668,5.833333333333333,9.2,10180.7,10207.9,13.266666666666667,10153.733333333334,12.666666666666666,32.96666666666667,10.1,77.26666666666667,13.066666666666666,80.13333333333334,95.93333333333334,11.633333333333333,58.13333333333333,13.733333333333333,19.366666666666667
9,2004-10,13,19,2,34,260.0,20041016.0,177.51612903225808,33.096774193548384,35.41935483870968,52.903225806451616,9.903225806451612,19.35483870967742,8.838709677419354,100.64516129032258,11.0,113.09677419354838,77.25806451612904,10.935483870967742,150.25806451612902,13.225806451612904,58.225806451612904,13.548387096774194,41.516129032258064,38.806451612903224,628.2258064516129,10.64516129032258,15.290322580645162,7.709677419354839,8.03225806451613,10097.161290322581,10123.161290322581,12.290322580645162,10068.225806451614,11.483870967741936,36.41935483870968,10.741935483870968,74.35483870967742,12.774193548387096,84.35483870967742,95.09677419354838,10.612903225806452,68.6774193548387,12.806451612903226,9.451612903225806
